apply	function_address	semantic_id	expected_qualified_name	expected_name	expected_name_source	expected_signature	expected_convention	expected_parameters	expected_call_fixup	proposed_name	proposed_convention	proposed_return_type	proposed_parameter_types	proposed_parameter_names	proposed_call_fixup	confidence	semantics	evidence
1	0072DA40	msvc_alloca_probe	Library::MSVCRT::__alloca_probe	__alloca_probe	ANALYSIS	void __stdcall __alloca_probe(void)	__stdcall		alloca_probe	__alloca_probe	__stdcall	/void			alloca_probe	high	MSVC x86 dynamic-stack probe; the canonical name activates Ghidra's built-in alloca_probe call-fixup so EAX-sized stack allocations remain dynamic local storage instead of raw stack0x address artifacts	body pattern verified
1	006AB060	free_and_null	FreeAndNull	FreeAndNull	ANALYSIS	void __stdcall FreeAndNull(void * slotStorage)	__stdcall	slotStorage=pointer:/void@ANALYSIS		FreeAndNull	__stdcall	/void	pointer:/void	slotStorage		high	treats its argument as the untyped address of a caller-owned pointer slot, frees the non-null allocation, and clears that slot; void * is intentional because unrelated C++ T ** values do not implicitly convert to void **	body pattern verified
1	006AE110	darray_destroy	DArrayDestroy	DArrayDestroy	ANALYSIS	void __stdcall DArrayDestroy(DArrayTy * array)	__stdcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS		DArrayDestroy	__stdcall	/void	pointer:/SubmarineTitans/Recovered/DArrayTy	array		high	releases dynamic-array storage and the descriptor when the ownership flag is set	body pattern verified
1	006AE290	darray_create	Library::DKW::TBL::DArrayCreate	DArrayCreate	ANALYSIS	DArrayTy * __stdcall DArrayCreate(DArrayTy * array, uint initialCapacity, uint elementSize, uint growCapacity)	__stdcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS;initialCapacity=/uint@ANALYSIS;elementSize=/uint@ANALYSIS;growCapacity=/uint@ANALYSIS		DArrayCreate	__stdcall	pointer:/SubmarineTitans/Recovered/DArrayTy	pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;/uint;/uint	array;initialCapacity;elementSize;growCapacity		high	creates or initializes a generic dynamic-array descriptor	body pattern verified
1	006B54F0	sarray_create	Library::DKW::TBL::SArrayCreate	SArrayCreate	ANALYSIS	DArrayTy * __stdcall SArrayCreate(DArrayTy * array, uint initialCapacity, uint growCapacity)	__stdcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS;initialCapacity=/uint@ANALYSIS;growCapacity=/uint@ANALYSIS		SArrayCreate	__stdcall	pointer:/SubmarineTitans/Recovered/DArrayTy	pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;/uint	array;initialCapacity;growCapacity		high	creates or initializes the string-pointer array specialization	body pattern verified
1	006AE140	darray_put	Library::DKW::TBL::DArrayPut	DArrayPut	ANALYSIS	int __stdcall DArrayPut(DArrayTy * array, uint index, void * element)	__stdcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS;index=/uint@ANALYSIS;element=pointer:/void@ANALYSIS		DArrayPut	__stdcall	/int	pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;pointer:/void	array;index;element		high	copies one element into an indexed dynamic-array slot	body pattern verified
1	006AE1C0	darray_append	Library::DKW::TBL::DArrayAppend	DArrayAppend	ANALYSIS	int __stdcall DArrayAppend(DArrayTy * array, void * element)	__stdcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS;element=pointer:/void@ANALYSIS		DArrayAppend	__stdcall	/int	pointer:/SubmarineTitans/Recovered/DArrayTy;pointer:/void	array;element		high	appends one element to a dynamic array and returns its result/index	body pattern verified
1	006ACC70	darray_get_element	DArrayGetElement	DArrayGetElement	ANALYSIS	int __fastcall DArrayGetElement(DArrayTy * array, uint index, void * outElement)	__fastcall	array=pointer:/SubmarineTitans/Recovered/DArrayTy@ANALYSIS;index=/uint@ANALYSIS;outElement=pointer:/void@ANALYSIS		DArrayGetElement	__fastcall	/int	pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;pointer:/void	array;index;outElement		high	copies the indexed dynamic-array element and returns index or -4	body pattern verified
1	006B0140	load_resource_string	LoadResourceString	LoadResourceString	ANALYSIS	char * __stdcall LoadResourceString(UINT resourceId, HINSTANCE module)	__stdcall	resourceId=/WinDef.h/UINT@ANALYSIS;module=/WinDef.h/HINSTANCE@ANALYSIS		LoadResourceString	__stdcall	pointer:/char	/WinDef.h/UINT;/WinDef.h/HINSTANCE	resourceId;module		high	loads a Win32 string resource into the process ring buffer and returns its address	body pattern verified
1	004406C0	indexed_record_byte_lookup	LookupRecordByte	LookupRecordByte	ANALYSIS	byte __stdcall LookupRecordByte(char recordIndex)	__stdcall	recordIndex=/char@ANALYSIS		LookupRecordByte	__stdcall	/byte	/char	recordIndex		high	maps a guarded byte-sized index to the first byte of a fixed-stride record; return width is owned by the CFG-complete ABI consistency pass	body pattern verified
