apply	layout_apply	layout_name	proposed_name	owner	slot_count	named_slot_count	confidence	reason	strong_vptr_refs	all_code_refs	slot_owners	constructor_owners	vptr_writer_owners	primary_vptr_store	this_vptr_offsets	vptr_store_sites	related_tables	table_address
1	1	VTable_007900A0	STGameObjCVTable	STGameObjC	53	2	high	unique_constructor_vptr_anchor	004158EC STGameObjC::STGameObjC [vptr-store] MOV dword ptr [ESI],0x7900a0	004158EC STGameObjC::STGameObjC [vptr-store] MOV dword ptr [ESI],0x7900a0	STGameObjC	STGameObjC	STGameObjC	1	0x0	004158EC	00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	007900A0
0	1	VTable_00790508	VTable_00790508		10	4	medium	constructor_slot_owner_conflict	004232AA STGroupBoatC::sub_004232A0 [vptr-store] MOV dword ptr [ESI],0x790508	004232AA STGroupBoatC::sub_004232A0 [vptr-store] MOV dword ptr [ESI],0x790508	STGroupC	STGroupBoatC	STGroupBoatC	1	0x0	004232AA		00790508
1	1	VTable_0079059C	STAllPlayersCVTable	STAllPlayersC	1	1	high	unique_constructor_vptr_anchor	0042A955 STAllPlayersC::STAllPlayersC [vptr-store] MOV dword ptr [ESI],0x79059c	0042A955 STAllPlayersC::STAllPlayersC [vptr-store] MOV dword ptr [ESI],0x79059c	STAllPlayersC	STAllPlayersC	STAllPlayersC	1	0x0	0042A955		0079059C
1	1	VTable_007905A0	STBoatCVTable	STBoatC	73	16	high	unique_constructor_vptr_anchor	0044E6B9 STBoatC::STBoatC [vptr-store] MOV dword ptr [ESI],0x7905a0	0044E6B9 STBoatC::STBoatC [vptr-store] MOV dword ptr [ESI],0x7905a0	STBoatC | STGameObjC	STBoatC	STBoatC	1	0x0	0044E6B9		007905A0
0	1	VTable_00790700	VTable_00790700		1	0	medium	named_nonconstructor_vptr_writer_review	0044E6A6 STBoatC::STBoatC [vptr-store] MOV dword ptr [EDI],0x790700	0044E6A6 STBoatC::STBoatC [vptr-store] MOV dword ptr [EDI],0x790700			STBoatC	0	0x1D5	0044E6A6		00790700
0	1	VTable_00790708	VTable_00790708		1	0	medium	unnamed_vptr_store	004956F8 FUN_004956f0 [vptr-store] MOV dword ptr [ESI],0x790708	004956F8 FUN_004956f0 [vptr-store] MOV dword ptr [ESI],0x790708				0	unknown	004956F8		00790708
1	1	VTable_00790710	DumpClassCVTable	DumpClassC	1	1	high	unique_constructor_vptr_anchor	00495928 DumpClassC::DumpClassC [vptr-store] MOV dword ptr [ESI],0x790710	00495928 DumpClassC::DumpClassC [vptr-store] MOV dword ptr [ESI],0x790710	DumpClassC	DumpClassC	DumpClassC	1	0x0	00495928		00790710
1	1	VTable_00790728	STGroupBoatCVTable	STGroupBoatC	10	8	high	unique_constructor_vptr_anchor	00497B05 STGroupBoatC::STGroupBoatC [vptr-store] MOV dword ptr [ESI],0x790728	00497B05 STGroupBoatC::STGroupBoatC [vptr-store] MOV dword ptr [ESI],0x790728	STGroupBoatC	STGroupBoatC	STGroupBoatC	1	0x0	00497B05		00790728
1	1	VTable_00790758	OpticClassCVTable	OpticClassC	1	1	high	unique_constructor_vptr_anchor	004A88C8 OpticClassC::OpticClassC [vptr-store] MOV dword ptr [ESI],0x790758	004A88C8 OpticClassC::OpticClassC [vptr-store] MOV dword ptr [ESI],0x790758	OpticClassC	OpticClassC	OpticClassC	1	0x0	004A88C8		00790758
1	1	VTable_00790790	STT3DSprCVTable	STT3DSprC	1	0	high	unique_constructor_vptr_anchor	004AB814 STT3DSprC::STT3DSprC [vptr-store] MOV dword ptr [EAX],0x790790	004AB814 STT3DSprC::STT3DSprC [vptr-store] MOV dword ptr [EAX],0x790790		STT3DSprC	STT3DSprC	1	0x0	004AB814		00790790
